;sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;d
0;masculino;comercio;fabrica de ;prado;3;10.0;13/07/2018;5000000;microempresarial;0masculinocomerciofabrica de prado310.0432945000000microempresarial
1;femenino;servicio;recreativo-educativo;barrio caicedo;1;9.0;30/10/2017;6000000;microempresarial;1femeninoserviciorecreativo-educativobarrio caicedo19.0430386000000microempresarial
2;femenino;comercio;tienda;aranjuez;2;4.0;3/08/2017;7300000;microempresarial;2femeninocomerciotiendaaranjuez24.0429507300000microempresarial
3;Masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000;microempresarial;3Masculinocomerciovariedadescabecera san cristobal360.0430597000000microempresarial
4;femenino;comercio;fabrica de ;robledo;2;7.0;23/02/2017;5000000;microempresarial;4femeninocomerciofabrica de robledo27.0427895000000microempresarial
5;femenino;comercio;variedades;picachito;1;6.0;31/05/2017;7000000;microempresarial;5femeninocomerciovariedadespicachito16.0428867000000microempresarial
6;femenino;industria;fabrica de ;guayabal;3;15.0;20/02/2016;$ 2,000,000.00;microempresarial;6femeninoindustriafabrica de guayabal315.042420$ 2,000,000.00microempresarial
7;femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000;microempresarial;7femeninocomerciotiendacarpinelo11.0427803300000microempresarial
8;masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000;microempresarial;8masculinocomerciovariedadesbelalcazar25.0432277800000microempresarial
9;femenino;comercio;variedades;manrique central no. 1;1;4.0;3/05/2018;7800000;microempresarial;9femeninocomerciovariedadesmanrique central no. 114.0432237800000microempresarial
10;femenino;industria;fabrica de ;manrique central no. 2;2;3.0;28/02/2017;4500000;microempresarial;10femeninoindustriafabrica de manrique central no. 223.0427944500000microempresarial
11;masculino;agropecuaria;sembrados;santa elena central;2;90.0;23/12/2016;13000000;agropecuaria;11masculinoagropecuariasembradossanta elena central290.04272713000000agropecuaria
12;femenino;comercio;comidas rapidas;andalucia;2;2.0;12/04/2018;7800000;microempresarial;12femeninocomerciocomidas rapidasandalucia22.0432027800000microempresarial
13;masculino;industria;fabrica de ;san javier no.1;1;13.0;23/08/2018;4000000;microempresarial;13masculinoindustriafabrica de san javier no.1113.0433354000000microempresarial
14;masculino;servicio;variedades;belencito;2;13.0;30/07/2018;7800000;microempresarial;14masculinoserviciovariedadesbelencito213.0433117800000microempresarial
15;masculino;comercio;miscelanea;centro admtivo;3;10.0;14/02/2018;1000000;microempresarial;15masculinocomerciomiscelaneacentro admtivo310.0431451000000microempresarial
16;femenino;comercio;variedades;cabecera san antonio ;2;80.0;16/11/2017;7000000;microempresarial;16femeninocomerciovariedadescabecera san antonio 280.0430557000000microempresarial
17;femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;29/04/2019;8000000;microempresarial;17femeninoserviciocafe e internetmanrique central no. 134.0435848000000microempresarial
18;masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000;microempresarial;18masculinocomerciotiendavilla hermosa38.0432785000000microempresarial
19;femenino;comercio;venta de calzado;playon de los ;2;2.0;27/02/2017;7000000;microempresarial;19femeninocomercioventa de calzadoplayon de los 22.0427937000000microempresarial
20;femenino;comercio;productos de belleza;buenos aires;3;9.0;24/07/2017;7300000;microempresarial;20femeninocomercioproductos de bellezabuenos aires39.0429407300000microempresarial
21;masculino;comercio;tienda;manrique central no. 1;2;4.0;14/09/2018;6000000;microempresarial;21masculinocomerciotiendamanrique central no. 124.0433576000000microempresarial
22;Femenino;comercio;tienda;popular;2;1.0;11/10/2018;6000000;microempresarial;22Femeninocomerciotiendapopular21.0433846000000microempresarial
23;femenino;comercio;almacen de ropa en ;robledo;2;7.0;15/02/2018;6000000;microempresarial;23femeninocomercioalmacen de ropa en robledo27.0431466000000microempresarial
24;FEMENINO;comercio;variedades;tricentenario;3;5.0;20/11/2017;4000000;microempresarial;24FEMENINOcomerciovariedadestricentenario35.0430594000000microempresarial
25;masculino;servicio;barberia;calasanz;2;12.0;26/09/2017;7377000;microempresarial;25masculinoserviciobarberiacalasanz212.0430047377000microempresarial
26;masculino;industria;fabrica de ;aranjuez;3;4.0;24/10/2016;$ 6,500,000.00;Microempresarial;26masculinoindustriafabrica de aranjuez34.042667$ 6,500,000.00Microempresarial
27;femenino;comercio;comidas_rapidas;buenos aires;2;9.0;28/06/2019;1500000;microempresarial;27femeninocomerciocomidas_rapidasbuenos aires29.0436441500000microempresarial
