sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito;concqt
masculino;comercio;fabrica de;prado;3;10.0;13/07/2018;5000000;microempresarial;masculinocomerciofabrica deprado310.0432945000000microempresarial
femenino;servicio;recreativo educativo;barrio caicedo;1;9.0;30/10/2017;6000000;microempresarial;femeninoserviciorecreativo educativobarrio caicedo19.0430386000000microempresarial
femenino;comercio;tienda;aranjuez;2;4.0;3/08/2017;7300000;microempresarial;femeninocomerciotiendaaranjuez24.0429507300000microempresarial
masculino;comercio;variedades;cabecera san cristobal;3;60.0;20/11/2017;7000000;microempresarial;masculinocomerciovariedadescabecera san cristobal360.0430597000000microempresarial
femenino;comercio;fabrica de;robledo;2;7.0;23/02/2017;5000000;microempresarial;femeninocomerciofabrica derobledo27.0427895000000microempresarial
femenino;comercio;variedades;picachito;1;6.0;;7000000;microempresarial;femeninocomerciovariedadespicachito16.07000000microempresarial
femenino;industria;fabrica de;guayabal;3;15.0;20/02/2016;2000000;microempresarial;femeninoindustriafabrica deguayabal315.0424202000000microempresarial
femenino;comercio;tienda;carpinelo;1;1.0;14/02/2017;3300000;microempresarial;femeninocomerciotiendacarpinelo11.0427803300000microempresarial
masculino;comercio;variedades;belalcazar;2;5.0;7/05/2018;7800000;microempresarial;masculinocomerciovariedadesbelalcazar25.0432277800000microempresarial
femenino;comercio;variedades;manrique central no. 1;1;4.0;;7800000;microempresarial;femeninocomerciovariedadesmanrique central no. 114.07800000microempresarial
femenino;industria;fabrica de;manrique central no. 2;2;3.0;28/02/2017;4500000;microempresarial;femeninoindustriafabrica demanrique central no. 223.0427944500000microempresarial
masculino;agropecuaria;sembrados;santa elena central;2;90.0;23/12/2016;13000000;agropecuaria;masculinoagropecuariasembradossanta elena central290.04272713000000agropecuaria
femenino;comercio;comidas rapidas;andalucia;2;2.0;12/04/2018;7800000;microempresarial;femeninocomerciocomidas rapidasandalucia22.0432027800000microempresarial
masculino;industria;fabrica de;san javier no.1;1;13.0;23/08/2018;4000000;microempresarial;masculinoindustriafabrica desan javier no.1113.0433354000000microempresarial
masculino;servicio;variedades;belencito;2;13.0;30/07/2018;7800000;microempresarial;masculinoserviciovariedadesbelencito213.0433117800000microempresarial
masculino;comercio;miscelanea;centro admtivo;3;10.0;14/02/2018;1000000;microempresarial;masculinocomerciomiscelaneacentro admtivo310.0431451000000microempresarial
femenino;comercio;variedades;cabecera san antonio;2;80.0;16/11/2017;7000000;microempresarial;femeninocomerciovariedadescabecera san antonio280.0430557000000microempresarial
femenino;servicio;cafe e internet;manrique central no. 1;3;4.0;29/04/2019;8000000;microempresarial;femeninoserviciocafe e internetmanrique central no. 134.0435848000000microempresarial
masculino;comercio;tienda;villa hermosa;3;8.0;27/06/2018;5000000;microempresarial;masculinocomerciotiendavilla hermosa38.0432785000000microempresarial
femenino;comercio;venta de calzado;playon de los;2;2.0;27/02/2017;7000000;microempresarial;femeninocomercioventa de calzadoplayon de los22.0427937000000microempresarial
femenino;comercio;productos de belleza;buenos aires;3;9.0;24/07/2017;7300000;microempresarial;femeninocomercioproductos de bellezabuenos aires39.0429407300000microempresarial
masculino;comercio;tienda;manrique central no. 1;2;4.0;14/09/2018;6000000;microempresarial;masculinocomerciotiendamanrique central no. 124.0433576000000microempresarial
femenino;comercio;tienda;popular;2;1.0;11/10/2018;6000000;microempresarial;femeninocomerciotiendapopular21.0433846000000microempresarial
femenino;comercio;almacen de ropa en;robledo;2;7.0;15/02/2018;6000000;microempresarial;femeninocomercioalmacen de ropa enrobledo27.0431466000000microempresarial
femenino;comercio;variedades;tricentenario;3;5.0;20/11/2017;4000000;microempresarial;femeninocomerciovariedadestricentenario35.0430594000000microempresarial
masculino;servicio;barberia;calasanz;2;12.0;26/09/2017;7377000;microempresarial;masculinoserviciobarberiacalasanz212.0430047377000microempresarial
masculino;industria;fabrica de;aranjuez;3;4.0;24/10/2016;6500000;microempresarial;masculinoindustriafabrica dearanjuez34.0426676500000microempresarial
femenino;comercio;comidas rapidas;buenos aires;2;9.0;28/06/2019;1500000;microempresarial;femeninocomerciocomidas rapidasbuenos aires29.0436441500000microempresarial
masculino;comercio;variedades;andalucia;2;2.0;17/08/2018;7800000;microempresarial;masculinocomerciovariedadesandalucia22.0433297800000microempresarial
femenino;servicio;peluqueria;pedregal;3;6.0;27/10/2017;7300000;microempresarial;femeninoserviciopeluqueriapedregal36.0430357300000microempresarial
femenino;servicio;jardineria;la francia;2;2.0;12/06/2017;7377000;microempresarial;femeninoserviciojardineriala francia22.0428987377000microempresarial
femenino;comercio;variedades;santa cruz;2;2.0;14/06/2017;4000000;microempresarial;femeninocomerciovariedadessanta cruz22.0429004000000microempresarial
femenino;comercio;tienda;san javier no.1;2;13.0;6/02/2018;7800000;microempresarial;femeninocomerciotiendasan javier no.1213.0431377800000microempresarial
femenino;comercio;variedades;la floresta;3;12.0;5/09/2017;7300000;microempresarial;femeninocomerciovariedadesla floresta312.0429837300000microempresarial
femenino;comercio;variedades;belen;3;16.0;16/09/2016;6890000;microempresarial;femeninocomerciovariedadesbelen316.0426296890000microempresarial
masculino;comercio;tienda;las brisas;3;5.0;;6000000;microempresarial;masculinocomerciotiendalas brisas35.06000000microempresarial
femenino;comercio;peluqueria;castilla;3;5.0;11/08/2017;2500000;microempresarial;femeninocomerciopeluqueriacastilla35.0429582500000microempresarial
masculino;industria;fabrica de alimentos;san javier no.1;2;13.0;27/10/2016;6800000;microempresarial;masculinoindustriafabrica de alimentossan javier no.1213.0426706800000microempresarial
femenino;comercio;almacen de ropa en;cabecera san antonio;2;80.0;22/09/2016;4000000;microempresarial;femeninocomercioalmacen de ropa encabecera san antonio280.0426354000000microempresarial
masculino;industria;variedades;cabecera san antonio;2;80.0;24/07/2017;5000000;credioportuno;masculinoindustriavariedadescabecera san antonio280.0429405000000credioportuno
masculino;industria;fabrica de;guayabal;2;15.0;2/03/2016;4000000;microempresarial;masculinoindustriafabrica deguayabal215.0424314000000microempresarial
masculino;industria;fabrica de;belen;2;16.0;24/05/2016;6500000;microempresarial;masculinoindustriafabrica debelen216.0425146500000microempresarial
femenino;comercio;comidas rapidas;santander;2;6.0;27/07/2018;1200000;microempresarial;femeninocomerciocomidas rapidassantander26.0433081200000microempresarial
femenino;comercio;almacen de ropa en;prado;3;10.0;20/11/2017;7000000;microempresarial;femeninocomercioalmacen de ropa enprado310.0430597000000microempresarial
femenino;comercio;comidas rapidas;santa cruz;2;2.0;22/03/2018;1500000;microempresarial;femeninocomerciocomidas rapidassanta cruz22.0431811500000microempresarial
masculino;industria;fabrica de traperos;aranjuez;3;4.0;24/02/2016;2000000;microempresarial;masculinoindustriafabrica de traperosaranjuez34.0424242000000microempresarial
